Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.6 28.4 20.4,74.7,0.0 0.0 0.0,4.3
2,17.6 28.0 21.0,74.3,0.0 11.9 11.9,6.6
3,17.4 26.5 20.4,77.3,0.0 15.9 15.9,3.1
4,15.7 27.6 20.7,72.0,0.0 0.0 0.0,6.9
5,17.2 25.2 19.2,86.0,0.3 8.0 8.3,3.0
6,16.5 26.0 20.0,82.3,0.0 8.4 8.4,1.1
7,16.4 24.8 19.4,84.0,1.4 9.6 11.0,0.8
8,16.8 27.4 20.8,72.0,0.0 0.0 0.0,4.1
9,18.2 29.4 22.0,71.3,0.0 0.0 0.0,7.0
10,19.0 26.8 21.8,75.3,0.0 4.3 4.3,3.3
11,18.4 29.2 22.5,74.0,0.3 0.2 0.5,7.1
12,18.2 28.0 21.8,66.7,0.0 0.0 0.0,1.9
13,16.7 30.0 22.1,69.3,0.0 0.0 0.0,8.2
14,18.8 26.6 22.1,78.7,1.3 40.6 41.9,0.9
15,16.8 27.7 21.3,74.3,0.0 10.3 10.3,3.4
16,17.5 29.0 21.6,73.0,0.0 0.9 0.9,7.8
17,18.8 29.4 22.0,74.7,0.0 15.0 15.0,7.4
18,18.1 28.2 21.1,80.0,0.4 9.0 9.4,3.4
19,15.8 29.4 21.0,68.7,0.0 0.0 0.0,7.7
20,15.1 30.3 20.3,67.3,0.0 0.3 0.3,6.8
21,17.3 27.0 21.2,72.3,0.1 0.0 0.1,3.8
22,15.0 30.6 21.2,72.3,0.0 0.0 0.0,7.5
23,17.0 30.3 22.6,67.7,0.0 1.0 1.0,8.1
24,18.8 26.8 21.3,76.7,0.0 0.0 0.0,0.7
25,17.0 30.7 22.4,69.0,0.0 0.0 0.0,7.3
26,17.4 30.0 22.6,68.7,0.0 3.4 3.4,5.1
27,16.0 26.7 20.4,84.7,16.6 0.0 16.6,0.1
28,14.5 30.2 21.1,76.0,0.0 49.1 49.1,8.3
29,16.4 28.5 21.0,77.7,0.3 0.0 0.3,1.7
30,17.8 30.0 22.0,71.7,0.0 1.5 1.5,7.9
31,18.4 28.3 21.8,74.3,0.0 3.2 3.2,3.5
Total:,,,20.7 192.6 213.3,148.8
Promedio:,17.1 28.3 21.3,74.4,,
